Skop,Suku,Rx_Susulan,Rx_VAS,Rx_Bukan_VAS,VAS_pct,VAS_UMP,VAS_Locker,VAS_Esyms,VAS_IDTF,VAS_Pandu lalu
MB,Q2 2025,19200,4194,15006,21.84,3599,225,366,4,0
MB,Q3 2025,20953,4868,16085,23.23,3655,202,997,7,7
MB,Q4 2025,20786,7096,13690,34.14,4593,284,1372,26,821
MB,Q1 2026,17963,8789,9174,48.93,5647,381,811,77,1873
MB,Q2 2026,19445,8315,11130,42.76,5929,451,343,108,1484
PJ,Q2 2025,26608,14507,12101,54.52,13892,160,146,3,0
PJ,Q3 2025,26109,12626,13483,48.36,11476,190,884,33,7
PJ,Q4 2025,25560,13361,12199,52.27,12049,212,474,31,583
PJ,Q1 2026,23465,16057,7408,68.43,13688,370,125,40,1834
PJ,Q2 2026,21573,14390,7183,66.7,11898,443,71,34,1944
GABUNGAN,Q2 2025,45808,18701,27107,40.82,17491,385,512,7,0
GABUNGAN,Q3 2025,47062,17494,29568,37.17,15131,392,1881,40,14
GABUNGAN,Q4 2025,46346,20457,25889,44.14,16642,496,1846,57,1404
GABUNGAN,Q1 2026,41428,24846,16582,59.97,19335,751,936,117,3707
GABUNGAN,Q2 2026,41018,22705,18313,55.35,17827,894,414,142,3428
